,id,name,symbol,num_market_pairs,date_added,circulating_supply,total_supply,cmc_rank,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.last_updated,time_stamp
13,1831,Bitcoin Cash,BCH,713,2017-07-23T00:00:00.000Z,19439331.25,19439331.25,14,2023-07-04T11:09:00.000Z,283.83475160744246,743918848.1596992,-10.6349,-0.03014361,-3.74402163,24.95006394,143.53294589,139.6417522,119.86127112,5517557756.758544,0.4539,5960529783.76,2023-07-04T11:09:00.000Z,2023-07-04 11:10:50.482598+00:00
14,3717,Wrapped Bitcoin,WBTC,1275,2019-01-30T00:00:00.000Z,157076.44645054,157076.44645054,15,2023-07-04T11:09:00.000Z,31038.836704307472,147441612.85504723,15.1058,0.03928193,1.22987344,1.60302471,13.94088842,6.56291797,8.66150035,4875470171.471209,0.4012,4875470171.47,2023-07-04T11:09:00.000Z,2023-07-04 11:10:50.482598+00:00
15,11419,Toncoin,TON,115,2021-08-26T13:40:22.000Z,3431892087.62,5047558528.0,16,2023-07-04T11:09:00.000Z,1.4055134623028227,7598001.14699757,-21.4909,-0.22544416,-2.03727269,-3.60899552,-19.09245813,-32.88176516,-39.3770535,4823570530.320448,0.397,7094411462.87,2023-07-04T11:09:00.000Z,2023-07-04 11:10:50.482598+00:00
16,4943,Dai,DAI,2415,2019-11-22T00:00:00.000Z,4648846476.598393,4648846476.598393,17,2023-07-04T11:09:00.000Z,0.9996544162707346,183477626.7067381,72.1931,-0.00876602,-0.01652906,-0.0197133,-0.03752627,-0.0333517,-0.0028792,4647239910.896228,0.3824,4647239910.9,2023-07-04T11:09:00.000Z,2023-07-04 11:10:50.482598+00:00
17,5805,Avalanche,AVAX,455,2020-07-13T00:00:00.000Z,345645114.23020005,432364564.23020005,18,2023-07-04T11:09:00.000Z,13.202854635580056,149693844.44395187,-8.9996,0.07778684,-0.53979774,-1.16979356,-10.5023662,-22.60530822,-27.57401296,4563502198.679795,0.3756,9506055337.62,2023-07-04T11:09:00.000Z,2023-07-04 11:10:50.482598+00:00
18,5994,Shiba Inu,SHIB,546,2020-08-01T00:00:00.000Z,589347916014481.1,589590013706694.8,19,2023-07-04T11:09:00.000Z,7.678295179786989e-06,115601459.21702111,5.4828,-0.0884626,-0.35212685,0.84039648,-11.45224305,-22.54082884,-32.40003767,4525187262.751497,0.3723,4527046160.29,2023-07-04T11:09:00.000Z,2023-07-04 11:10:50.482598+00:00
19,4687,Binance USD,BUSD,6978,2019-09-20T00:00:00.000Z,4126370286.819097,4126370286.819097,20,2023-07-04T11:09:00.000Z,1.0000144738290502,2610598126.370771,11.9017,-0.01451427,0.00152258,0.0125932,-0.01956456,-0.03602631,0.02371189,4126430011.197226,0.3395,4126430011.2,2023-07-04T11:09:00.000Z,2023-07-04 11:10:50.482598+00:00
0,1,Bitcoin,BTC,10273,2010-07-13T00:00:00.000Z,19419550.0,19419550.0,1,2023-07-04T11:10:00.000Z,31021.817507942997,16237577919.994257,37.5941,-0.02288409,1.20986221,1.40998832,13.95601082,6.51727914,8.86853001,602429736186.3744,49.5782,651458167666.8,2023-07-04T11:10:00.000Z,2023-07-04 11:11:53.163931+00:00
1,1027,Ethereum,ETH,7064,2015-08-07T00:00:00.000Z,120219082.75728613,120219082.75728613,2,2023-07-04T11:10:00.000Z,1957.504661326186,6988399311.157748,-10.5516,0.07761997,-0.28185282,4.17560649,2.74360125,2.75771042,2.32353291,235329414877.7461,19.3669,235329414877.75,2023-07-04T11:10:00.000Z,2023-07-04 11:11:53.163931+00:00
2,825,Tether,USDT,56171,2015-02-25T00:00:00.000Z,83352722599.90813,85733529362.29857,3,2023-07-04T11:10:00.000Z,1.0001868549824733,25300927040.420498,12.4219,0.01316377,0.02069161,0.022586,-0.01301736,-0.03079198,0.01240466,83368297471.42863,6.861,85749549099.42,2023-07-04T11:10:00.000Z,2023-07-04 11:11:53.163931+00:00
